date,value
1986/12/31,2568.3
1987/1/2,2540.1001
1987/1/5,2552.3999
1987/1/6,2583.8999
1987/1/7,2607.1001
1987/1/8,2603.3
1987/1/9,2561.7
1987/1/12,2614.8999
1987/1/13,2590.8
1987/1/14,2578.2
1987/1/15,2559.1001
1987/1/16,2542.6001
1987/1/19,2460.5
1987/1/20,2449.8999
1987/1/21,2533.8999
1987/1/22,2536.8999
1987/1/23,2499.3999
1987/1/26,2484.3999
1987/1/27,2524
1987/1/28,2553.3
1987/2/2,2585.2
1987/2/3,2606.3999
1987/2/4,2636.6001
1987/2/5,2672.3999
1987/2/6,2673.6001
1987/2/9,2713.7
1987/2/10,2694.8999
1987/2/11,2739.5
1987/2/12,2754.7
1987/2/13,2740.5
1987/2/16,2766.1001
1987/2/17,2792.1001
1987/2/18,2801.5
1987/2/19,2775.8
1987/2/20,2827.3999
1987/2/23,2879
1987/2/24,2848.2
1987/2/25,2873.6001
1987/2/26,2843.6001
1987/2/27,2877.8999
1987/3/2,2894.3
1987/3/3,2939.1001
1987/3/4,2890.8999
1987/3/5,2798.3999
1987/3/6,2798.6001
1987/3/9,2820.3999
1987/3/10,2731.1001
1987/3/11,2760.8999
1987/3/12,2750.1001
1987/3/13,2721.2
1987/3/16,2669.6001
1987/3/17,2629.3
1987/3/18,2724
1987/3/19,2721.3
1987/3/20,2780.6001
1987/3/23,2813.3999
1987/3/24,2828.1001
1987/3/25,2831.5
1987/3/26,2783.1001
1987/3/27,2798.7
1987/3/30,2774.8999
1987/3/31,2713.8
1987/4/1,2695.8999
1987/4/2,2709.3999
1987/4/3,2680
1987/4/7,2664.7
1987/4/8,2729.6001
1987/4/9,2785.5
1987/4/10,2766.3999
1987/4/13,2708.8999
1987/4/14,2668.3999
1987/4/15,2693.6001
1987/4/16,2721.1001
1987/4/21,2713.3999
1987/4/22,2716.8999
1987/4/23,2719.8999
1987/4/24,2707.6001
1987/4/27,2636.5
1987/4/28,2617.1001
1987/4/29,2589.5
1987/4/30,2659.8999
1987/5/1,2685.3999
1987/5/4,2695.8
1987/5/5,2713.8
1987/5/6,2792.8999
1987/5/7,2785.6001
1987/5/8,2805.1001
1987/5/11,2846.8999
1987/5/12,2853.3999
1987/5/13,2833.5
1987/5/14,2853.8999
1987/5/15,2872.2
1987/5/18,2875.3999
1987/5/19,2881.5
1987/5/20,2887.3
1987/5/21,2871
1987/5/22,2897.6001
1987/5/25,2897.6001
1987/5/26,2935.8999
1987/5/27,2941.6001
1987/5/28,2950.8
1987/5/29,2950.8
1987/6/2,2934.1001
1987/6/3,2963
1987/6/4,3023.6001
1987/6/5,3064.3
1987/6/8,3068
1987/6/9,3108.6001
1987/6/10,3097.3
1987/6/11,3087.5
1987/6/12,3129.8999
1987/6/16,3170.8999
1987/6/17,3178.6001
1987/6/18,3133.7
1987/6/19,3165.6001
1987/6/22,3131.2
1987/6/23,3110.3999
1987/6/24,3179
1987/6/25,3136.3
1987/6/26,3138.7
1987/6/29,3152
1987/6/30,3178.2
1987/7/1,3164
1987/7/2,3229.2
1987/7/3,3226
1987/7/6,3220.7
1987/7/7,3236.3999
1987/7/8,3251.3999
1987/7/9,3226
1987/7/10,3207.2
1987/7/13,3216.1001
1987/7/14,3253.3999
1987/7/15,3262.3
1987/7/16,3305.8
1987/7/17,3342.1001
1987/7/20,3386.1001
1987/7/21,3353.8
1987/7/22,3380.3999
1987/7/23,3366.8
1987/7/24,3343.6001
1987/7/27,3346.8999
1987/7/28,3337.5
1987/7/29,3389.7
1987/7/30,3419.3
1987/7/31,3479.2
1987/8/3,3514.3
1987/8/4,3531.8999
1987/8/5,3517.1001
1987/8/6,3498
1987/8/7,3536.2
1987/8/10,3543.8
1987/8/11,3546.5
1987/8/12,3557.3999
1987/8/13,3514.3
1987/8/14,3512.2
1987/8/17,3510.7
1987/8/18,3504.8999
1987/8/19,3450.6001
1987/8/20,3408
1987/8/21,3446.6001
1987/8/24,3391.3
1987/8/25,3447.3
1987/8/26,3526.3
1987/8/27,3583.3
1987/8/28,3611.7
1987/9/1,3644.3
1987/9/2,3635.8999
1987/9/3,3654
1987/9/4,3654.5
1987/9/7,3646.3
1987/9/8,3601.5
1987/9/9,3577.6001
1987/9/10,3601
1987/9/11,3660.5
1987/9/14,3649.8
1987/9/15,3646.8999
1987/9/16,3646.8999
1987/9/17,3571.3999
1987/9/18,3650
1987/9/21,3668
1987/9/22,3695.5
1987/9/23,3763.1001
1987/9/24,3768.3999
1987/9/25,3840.1001
1987/9/28,3884.7
1987/9/29,3859.5
1987/9/30,3943.6001
1987/10/1,3949.7
1987/10/2,3902.7
1987/10/5,3947
1987/10/6,3925.3
1987/10/7,3936.1001
1987/10/9,3882.3999
1987/10/12,3900.2
1987/10/13,3841.3
1987/10/14,3844.5
1987/10/15,3828.6001
1987/10/16,3783.2
1987/10/19,3362.3999
1987/10/26,2241.7
1987/10/27,2395.7
1987/10/28,2370.2
1987/10/29,2204.5
1987/10/30,2204.5
1987/11/2,2203.2
1987/11/3,2180.5
1987/11/4,2077.1001
1987/11/5,1960.9
1987/11/6,2113.7
1987/11/9,2139.3
1987/11/10,2043.2
1987/11/11,2075.3
1987/11/12,2150.8999
1987/11/13,2226.7
1987/11/16,2310.8999
1987/11/17,2290.3999
1987/11/18,2285.2
1987/11/19,2257.6001
1987/11/20,2214.7
1987/11/23,2141.7
1987/11/24,2134.8
1987/11/25,2184.3999
1987/11/26,2179.6001
1987/11/27,2194
1987/11/30,2138.3999
1987/12/1,2108.6001
1987/12/2,2100.8
1987/12/3,2057.3999
1987/12/4,1994.2
1987/12/7,1894.9
1987/12/8,1986.1
1987/12/9,1985
1987/12/10,2027.7
1987/12/11,1989.6
1987/12/14,2040.6
1987/12/15,2080.6001
1987/12/16,2145.7
1987/12/17,2142.2
1987/12/18,2180.5
1987/12/21,2278.1001
1987/12/22,2276.3999
1987/12/23,2325.6001
1987/12/24,2379.1001
1987/12/28,2286.8
1987/12/29,2301.3
1987/12/30,2292
1987/12/31,2302.8
1988/1/4,2286.3
1988/1/5,2403.2
1988/1/6,2463
1988/1/7,2452.5
1988/1/8,2460.7
1988/1/11,2400.8
1988/1/12,2442.3999
1988/1/13,2383.8
1988/1/14,2411.5
1988/1/15,2429.8
1988/1/18,2512.2
1988/1/19,2488.2
1988/1/20,2484.3
1988/1/21,2412.3
1988/1/22,2422.3999
1988/1/25,2407.3
1988/1/26,2426.1001
1988/1/27,2412.6001
1988/1/28,2412.7
1988/1/29,2409.7
1988/2/1,2358.3
1988/2/2,2298.5
1988/2/3,2354.5
1988/2/4,2295.3
1988/2/5,2292.6001
1988/2/8,2223.6001
1988/2/9,2223
1988/2/10,2233.5
1988/2/11,2256.5
1988/2/12,2287.2
1988/2/15,2301.8
1988/2/16,2328
1988/2/22,2347.2
1988/2/23,2329.3999
1988/2/24,2336
1988/2/25,2355.8999
1988/2/26,2383.8999
1988/2/29,2418.1001
1988/3/1,2454.7
1988/3/2,2462.1001
1988/3/3,2468.5
1988/3/4,2472.3999
1988/3/7,2470.3999
1988/3/8,2493.3
1988/3/9,2551.8
1988/3/10,2591.3
1988/3/11,2595.5
1988/3/14,2584.7
1988/3/15,2578.8999
