date,value
1483942260000,79
1483942270000,87
1483942275000,101
1483942280000,103
1483942295000,103
1483942310000,99
1483942325000,99
1483942340000,99
1483942355000,99
1483942370000,99
1483942380000,89
1483942385000,84
1483942390000,85
1483942400000,84
1483942415000,84
1483942420000,82
1483942430000,80
1483942440000,79
1483942450000,77
1483942460000,77
1483942470000,71
1483942485000,71
1483942495000,72
1483942510000,72
1483942515000,72
1483942520000,72
1483942535000,72
1483942540000,73
1483942550000,70
1483942565000,70
1483942570000,71
1483942585000,71
1483942590000,69
1483942600000,70
1483942610000,71
1483942625000,71
1483942640000,71
1483942655000,70
1483942670000,71
1483942675000,72
1483942690000,72
1483942705000,73
1483942710000,72
1483942720000,74
1483942735000,74
1483942750000,74
1483942760000,73
1483942770000,73
1483942785000,73
1483942790000,73
1483942800000,62
1483942810000,61
1483942820000,63
1483942835000,63
1483942840000,64
1483942850000,64
1483942860000,65
1483942870000,68
1483942885000,68
1483942900000,68
1483942915000,68
1483942930000,68
1483942945000,68
1483942950000,69
1483942960000,68
1483942975000,68
1483942985000,69
1483943000000,65
1483943010000,62
1483943020000,64
1483943030000,66
1483943040000,69
1483943050000,73
1483943060000,74
1483943075000,74
1483943090000,74
1483943100000,74
1483943115000,74
1483943130000,74
1483943145000,74
1483943160000,73
1483943175000,73
1483943190000,73
1483943200000,73
1483943205000,73
1483943220000,77
1483943230000,78
1483943240000,82
1483943245000,82
1483943255000,81
1483943270000,80
1483943280000,80
1483943295000,80
1483943310000,80
1483943320000,79
1483943335000,79
1483943340000,81
1483943350000,80
1483943355000,79
1483943370000,79
1483943380000,78
1483943390000,77
1483943400000,76
1483943405000,74
1483943410000,73
1483943420000,81
1483943430000,84
1483943440000,82
1483943455000,82
1483943460000,82
1483943475000,81
1483943490000,81
1483943505000,81
1483943520000,81
1483943525000,80
1483943540000,80
1483943550000,86
1483943560000,84
1483943570000,81
1483943580000,83
1483943595000,83
1483943600000,82
1483943605000,82
1483943620000,82
1483943635000,82
1483943640000,82
1483943650000,82
1483943665000,82
1483943670000,80
1483943685000,80
1483943690000,80
1483943705000,80
1483943720000,80
1483943730000,81
1483943740000,82
1483943745000,81
1483943760000,81
1483943775000,81
1483943790000,82
1483943805000,82
1483943815000,83
1483943830000,85
1483943835000,88
1483943840000,90
1483943845000,91
1483943860000,91
1483943875000,91
1483943885000,91
1483943900000,91
1483943905000,92
1483943910000,93
1483943925000,93
1483943940000,93
1483943945000,93
1483943950000,95
1483943955000,98
1483943960000,99
1483943965000,102
1483943970000,104
1483943975000,105
1483943985000,106
1483943990000,107
1483943995000,108
1483944000000,112
1483944005000,114
1483944010000,113
1483944020000,114
1483944035000,114
1483944050000,114
1483944060000,115
1483944075000,116
1483944085000,115
1483944095000,118
1483944105000,121
1483944120000,125
1483944125000,128
1483944130000,126
1483944135000,125
1483944140000,128
1483944145000,127
1483944150000,127
1483944160000,126
1483944165000,127
1483944175000,128
1483944180000,130
1483944195000,130
1483944200000,129
1483944205000,126
1483944215000,124
1483944220000,123
1483944235000,123
1483944250000,123
1483944265000,123
1483944270000,122
1483944275000,121
1483944290000,121
1483944300000,120
1483944305000,117
1483944310000,119
1483944315000,118
1483944330000,119
1483944335000,120
1483944340000,121
1483944345000,122
1483944350000,126
1483944365000,126
1483944370000,125
1483944375000,125
1483944390000,125
1483944400000,124
1483944405000,122
1483944420000,122
1483944430000,122
1483944445000,122
1483944450000,118
1483944465000,118
1483944470000,118
1483944485000,118
1483944490000,119
1483944495000,119
1483944510000,119
1483944515000,119
1483944530000,119
1483944535000,118
1483944545000,119
1483944560000,119
1483944565000,118
1483944580000,118
1483944595000,118
1483944605000,117
1483944610000,120
1483944620000,121
1483944625000,120
1483944630000,117
1483944635000,117
1483944650000,117
1483944665000,115
1483944670000,113
1483944685000,112
1483944700000,112
1483944710000,113
1483944715000,115
1483944730000,115
1483944745000,115
1483944760000,115
1483944775000,115
1483944790000,118
1483944805000,120
1483944810000,121
1483944815000,120
1483944820000,121
1483944825000,122
1483944840000,121
1483944855000,123
1483944865000,122
1483944875000,118
1483944880000,120
1483944895000,120
1483944910000,120
1483944915000,121
1483944920000,124
1483944925000,124
1483944940000,124
1483944945000,121
1483944950000,124
1483944965000,125
1483944980000,127
1483944990000,126
1483944995000,123
1483945000000,126
1483945010000,129
1483945015000,133
1483945025000,134
1483945030000,135
1483945035000,137
1483945040000,141
1483945055000,141
1483945070000,141
1483945080000,140
1483945090000,139
1483945095000,138
1483945110000,137
1483945120000,136
1483945125000,133
1483945130000,130
1483945135000,129
1483945140000,126
1483945145000,119
1483945150000,117
1483945155000,116
1483945165000,115
1483945170000,114
1483945175000,111
1483945185000,113
1483945190000,112
1483945205000,113
1483945220000,113
1483945235000,113
1483945250000,114
1483945265000,114
1483945275000,116
1483945280000,117
1483945290000,116
1483945295000,112
1483945300000,111
1483945305000,110
1483945310000,108
1483945325000,108
1483945330000,107
1483945335000,107
1483945340000,107
1483945345000,105
1483945360000,104
1483945375000,104
1483945380000,105
1483945385000,105
1483945400000,105
1483945405000,107
1483945410000,108
1483945425000,108
1483945440000,108
1483945455000,107
1483945460000,108
1483945465000,109
1483945470000,108
1483945480000,106
1483945485000,105
1483945495000,107
1483945500000,108
1483945510000,107
1483945525000,107
1483945530000,108
1483945535000,107
1483945550000,107
1483945555000,105
1483945560000,104
1483945565000,103
1483945580000,101
1483945595000,101
1483945610000,101
1483945620000,94
1483945625000,92
1483945630000,93
1483945640000,91
1483945650000,92
1483945665000,92
1483945670000,92
1483945685000,92
1483945695000,93
1483945710000,93
1483945725000,95
1483945740000,94
1483945745000,95
1483945760000,95
1483945770000,94
1483945785000,94
1483945790000,96
1483945795000,95
1483945810000,95
1483945815000,92
1483945820000,91
1483945825000,90
1483945830000,90
1483945845000,91
1483945860000,76
1483945870000,77
1483945880000,78
1483945895000,78
1483945900000,77
1483945905000,77
1483945910000,77
1483945915000,78
1483945925000,78
1483945930000,79
1483945940000,80
1483945950000,79
1483945965000,79
1483945980000,80
1483945995000,79
1483946010000,81
1483946025000,81
1483946030000,79
1483946045000,79
1483946050000,80
1483946060000,81
1483946075000,81
1483946090000,81
1483946105000,81
1483946115000,80
1483946130000,80
1483946145000,80
1483946160000,80
1483946165000,80
1483946180000,80
1483946195000,80
1483946200000,80
1483946215000,80
1483946225000,81
1483946230000,82
1483946235000,85
1483946250000,85
1483946260000,87
1483946275000,87
1483946290000,87
1483946295000,90
1483946300000,93
1483946305000,94
1483946315000,96
1483946325000,97
1483946335000,97
1483946340000,98
1483946345000,99
1483946350000,102
1483946355000,102
1483946360000,104
1483946365000,105
1483946370000,106
1483946375000,107
1483946390000,109
1483946395000,111
1483946400000,105
1483946405000,98
1483946410000,97
1483946415000,100
1483946420000,113
1483946425000,115
1483946435000,114
1483946450000,110
1483946455000,105
1483946470000,105
1483946485000,102
1483946490000,96
1483946505000,96
1483946510000,93
1483946515000,94
1483946520000,95
1483946530000,96
1483946535000,97
1483946540000,100
1483946545000,101
1483946550000,100
1483946565000,99
1483946575000,98
1483946580000,96
1483946585000,95
1483946600000,91
1483946610000,90
1483946625000,90
1483946630000,90
1483946640000,90
1483946650000,90
1483946665000,90
1483946670000,87
1483946685000,87
1483946700000,87
1483946710000,87
1483946715000,88
1483946720000,89
1483946725000,90
1483946730000,92
1483946745000,93
1483946750000,95
1483946755000,97
1483946770000,97
1483946780000,98
1483946795000,98
1483946805000,96
1483946810000,93
1483946820000,92
1483946830000,93
1483946845000,93
1483946860000,96
1483946870000,97
1483946885000,97
1483946900000,98
1483946905000,98
1483946910000,99
1483946915000,99
1483946930000,98
1483946940000,98
1483946950000,99
1483946955000,100
1483946960000,100
1483946965000,99
1483946975000,100
1483946980000,99
1483946995000,99
1483947000000,97
1483947010000,95
1483947025000,95
1483947040000,94
1483947045000,95
1483947050000,94
1483947065000,94
1483947070000,93
1483947085000,93
1483947090000,88
1483947100000,87
1483947115000,87
1483947130000,87
1483947140000,91
1483947150000,105
1483947155000,106
1483947170000,106
1483947180000,110
1483947185000,110
1483947200000,110
1483947215000,110
1483947230000,110
1483947235000,109
1483947240000,109
1483947255000,109
1483947260000,107
1483947265000,104
1483947270000,104
1483947280000,105
1483947285000,106
1483947300000,106
1483947310000,104
1483947325000,104
1483947340000,104
1483947345000,104
1483947350000,103
1483947365000,103
1483947370000,104
1483947380000,101
1483947390000,99
1483947400000,100
1483947405000,100
1483947410000,98
1483947420000,96
1483947430000,91
1483947440000,97
1483947450000,98
1483947455000,97
1483947465000,98
1483947470000,99
1483947485000,99
1483947495000,100
1483947510000,102
1483947515000,103
1483947520000,104
1483947525000,106
1483947535000,107
1483947540000,108
1483947545000,109
1483947550000,108
1483947555000,109
1483947560000,111
1483947565000,111
1483947570000,112
1483947575000,113
1483947580000,113
1483947585000,116
1483947590000,114
1483947595000,113
1483947600000,112
1483947605000,110
1483947610000,112
1483947615000,113
1483947620000,114
1483947625000,112
1483947640000,115
1483947645000,117
1483947655000,124
1483947665000,122
1483947670000,123
1483947675000,126
1483947680000,127
1483947690000,133
1483947695000,140
1483947700000,145
1483947705000,149
1483947710000,152
1483947715000,155
1483947720000,154
1483947725000,151
1483947730000,152
1483947740000,155
1483947745000,154
1483947750000,152
1483947755000,151
1483947760000,148
1483947765000,147
1483947770000,148
1483947775000,147
1483947780000,146
1483947785000,147
1483947790000,144
1483947795000,147
1483947800000,146
1483947815000,142
1483947830000,139
1483947840000,137
1483947845000,133
1483947850000,132
1483947855000,131
1483947865000,127
1483947870000,128
1483947885000,127
1483947890000,126
1483947900000,124
1483947905000,122
1483947920000,121
1483947930000,117
1483947935000,115
1483947950000,116
1483947960000,115
1483947975000,115
1483947980000,115
1483947995000,115
1483948005000,115
1483948020000,115
1483948035000,115
1483948040000,115
1483948045000,114
1483948055000,115
1483948065000,116
1483948070000,117
1483948075000,119
1483948080000,117
1483948085000,116
1483948095000,117
1483948105000,115
1483948120000,114
1483948135000,114
1483948150000,114
1483948160000,113
1483948170000,115
1483948185000,115
1483948200000,114
1483948215000,114
1483948225000,113
1483948240000,112
1483948255000,112
1483948270000,112
1483948275000,111
1483948280000,110
1483948285000,109
1483948290000,108
1483948300000,103
1483948305000,103
1483948320000,103
1483948330000,102
1483948345000,102
1483948355000,102
1483948365000,103
1483948380000,103
1483948390000,102
1483948405000,102
1483948420000,102
1483948435000,102
1483948440000,102
1483948455000,102
1483948470000,102
1483948485000,102
1483948490000,101
1483948495000,100
1483948500000,99
1483948505000,98
1483948510000,98
1483948525000,98
1483948540000,98
1483948545000,98
1483948560000,98
1483948570000,98
1483948585000,98
1483948590000,98
1483948605000,98
1483948620000,98
1483948630000,97
1483948635000,95
1483948650000,95
1483948660000,96
1483948675000,96
1483948680000,95
1483948695000,98
1483948700000,102
1483948705000,99
1483948710000,97
1483948715000,97
1483948720000,99
1483948725000,100
1483948740000,102
1483948745000,105
1483948750000,103
1483948760000,105
1483948770000,107
1483948780000,110
1483948785000,111
1483948790000,110
1483948795000,109
1483948800000,107
1483948805000,105
1483948810000,107
1483948825000,108
1483948830000,110
1483948835000,111
1483948840000,115
1483948845000,113
1483948850000,114
1483948860000,113
1483948870000,115
1483948875000,114
1483948880000,113
1483948885000,115
1483948900000,115
1483948910000,114
1483948915000,115
1483948920000,117
1483948925000,119
1483948930000,120
1483948935000,121
1483948940000,122
1483948945000,121
1483948960000,121
1483948965000,122
1483948970000,121
1483948985000,121
1483949000000,121
1483949010000,115
1483949015000,114
1483949030000,114
1483949035000,113
1483949040000,112
1483949055000,112
1483949070000,112
1483949085000,112
1483949090000,112
1483949105000,112
1483949110000,112
1483949125000,112
1483949140000,112
1483949155000,112
1483949160000,113
1483949175000,115
1483949185000,114
1483949200000,114
1483949215000,114
1483949230000,113
1483949235000,114
1483949250000,114
1483949255000,115
1483949265000,114
1483949270000,114
1483949275000,113
1483949280000,114
1483949285000,115
1483949295000,116
1483949310000,115
1483949315000,116
1483949325000,117
1483949340000,118
1483949345000,117
1483949355000,115
1483949360000,116
1483949365000,117
1483949375000,116
1483949385000,115
1483949390000,114
1483949405000,114
1483949410000,116
1483949415000,118
1483949425000,119
1483949430000,120
1483949435000,119
1483949440000,120
1483949455000,118
1483949460000,116
1483949470000,119
1483949475000,121
1483949480000,121
1483949485000,124
1483949490000,125
1483949505000,124
1483949510000,126
1483949515000,127
1483949520000,124
1483949535000,125
1483949540000,126
1483949550000,131
1483949555000,134
1483949560000,133
1483949575000,133
1483949585000,131
1483949590000,130
1483949595000,132
1483949610000,134
1483949620000,133
1483949630000,134
1483949640000,132
1483949645000,134
1483949650000,135
1483949655000,132
1483949660000,133
1483949675000,133
1483949680000,137
1483949690000,136
1483949695000,135
1483949705000,132
1483949720000,132
1483949735000,132
1483949745000,127
1483949755000,126
1483949760000,127
1483949775000,127
