date,value,normalized_value,sample_normalized_value,first_difference,second_difference,importance,privacy_budget,perturbed_value
1986-12-31,2568.3,-1.624701087224217,-1.624701087224217,0.0,0.0,0.0,0.0,-1.624701087224217
1987-01-02,2540.1001,-1.6282157423610915,-1.6282157423610915,28.19990000000007,28.19990000000007,0.016657694910636782,1.9897406101284876e-05,-1.6217677998629156
1987-01-05,2552.3999,-1.626682773972816,-1.626682773972816,12.299799999999777,15.900100000000293,0.008328847455318391,9.948703050642438e-06,-1.6296516320712107
1987-01-06,2583.8999,-1.6227568154831922,-1.6227568154831922,31.5,19.200200000000223,0.014974316637794258,1.7886632023807982e-05,-1.6318115812132505
1987-01-07,2607.1001,-1.6198652909704632,-1.6198652909704632,23.200200000000223,8.299799999999777,0.009303532808362039,1.1112952389733155e-05,-1.6037824302450034
1987-01-08,2603.3,-1.6203389111246351,-1.6203389111246351,3.8000999999999294,19.400100000000293,0.006852184820970255,8.184848191501257e-06,-1.613944849233107
1987-01-09,2561.7,-1.6255236690029955,-1.6255236690029955,41.600000000000364,37.799900000000434,0.023450780147005475,2.801166058570103e-05,-1.6404946423419666
1987-01-12,2614.8999,-1.6188931737949912,-1.6188931737949912,53.19990000000007,11.599899999999707,0.01913863699286655,2.2860860071880253e-05,-1.6279058879318402
1987-01-13,2590.8,-1.6218968311602,-1.6218968311602,24.099899999999707,29.100000000000364,0.01571260365243112,1.8768506534557643e-05,-1.6306560087084143
1987-01-14,2578.2,-1.6234672145560498,-1.6234672145560498,12.600000000000364,11.499899999999343,0.007117911438991796,8.502255279280217e-06,-1.6157302832400058
1987-01-15,2559.1001,-1.6258477039070327,-1.6258477039070327,19.099899999999707,6.499899999999343,0.007560907275793577,9.03140820910096e-06,-1.6382940732144344
1987-01-16,2542.6001,-1.6279041583539784,-1.6279041583539784,16.5,2.599899999999707,0.00564116019956925,6.738294582497176e-06,-1.6261046301145534
1987-01-19,2460.5,-1.6381365896109294,-1.6381365896109294,82.10010000000011,65.60010000000011,0.043623290682591645,5.210746954139897e-05,-1.5913643045861952
1987-01-20,2449.8999,-1.6394577182644487,-1.6394577182644487,10.600100000000111,71.5,0.024248284886343025,2.89642699203915e-05,-1.6540051586626128
1987-01-21,2533.8999,-1.6289884956254521,-1.6289884956254521,84.0,73.39989999999989,0.04648809948199692,5.552944745551614e-05,-1.635203134747322
1987-01-22,2536.8999,-1.6286145948169166,-1.6286145948169166,3.0,81.0,0.02480942082229877,2.963453970595508e-05,-1.656556749396837
1987-01-23,2499.3999,-1.6332883549236115,-1.6332883549236115,37.5,34.5,0.02126521784768466,2.5401034033675786e-05,-1.6445244379347055
1987-01-26,2484.3999,-1.6351578589662894,-1.6351578589662894,15.0,22.5,0.011075634295669094,1.3229705225872804e-05,-1.62656448870926
1987-01-27,2524.0,-1.6302223558302593,-1.6302223558302593,39.60010000000011,24.60010000000011,0.01896154498423513,2.264932590512219e-05,-1.626379662443407
1987-01-28,2553.3,-1.6265705912668948,-1.6265705912668948,29.300000000000182,10.30009999999993,0.011695899351251385,1.3970603997735656e-05,-1.611108626713507
1987-02-02,2585.2,-1.6225947793361333,-1.6225947793361333,31.899999999999636,2.5999999999994543,0.010189583552015298,1.217132880780266e-05,-1.6223640211187242
1987-02-03,2606.3999,-1.6199525594191753,-1.6199525594191753,21.19990000000007,10.700099999999566,0.009421672907515735,1.125406924547567e-05,-1.6162853243220758
1987-02-04,2636.6001,-1.61618859968653,-1.61618859968653,30.200200000000223,9.000300000000152,0.011577877392196812,1.3829628258848848e-05,-1.604663289840459
1987-02-05,2672.3999,-1.6117267416313923,-1.6117267416313923,35.79979999999978,5.599599999999555,0.012227323052269751,1.4605382894079725e-05,-1.608469693768063
1987-02-06,2673.6001,-1.6115771563812575,-1.6115771563812575,1.2002000000002226,34.599599999999555,0.010573479804215786,1.262988803053862e-05,-1.6056183917900053
1987-02-09,2713.7,-1.6065793613705255,-1.6065793613705255,40.09989999999971,38.899699999999484,0.023332551442776833,2.7870437892316014e-05,-1.6315516453780587
1987-02-10,2694.8999,-1.6089224855673754,-1.6089224855673754,18.80009999999993,21.299799999999777,0.011843515405143943,1.4146929508985946e-05,-1.6058406256217381
1987-02-11,2739.5,-1.6033638144171192,-1.6033638144171192,44.60010000000011,25.800000000000182,0.020792686986094322,2.4836601889919253e-05,-1.6118290435459723
1987-02-12,2754.7,-1.6014693836538725,-1.6014693836538725,15.199999999999818,29.400100000000293,0.013172650590673931,1.5734564694518697e-05,-1.5884762729863857
1987-02-13,2740.5,-1.603239180814274,-1.603239180814274,14.199999999999818,1.0,0.004489323767844486,5.36244051822038e-06,-1.6095517018910117
1987-02-16,2766.1001,-1.6000485481180768,-1.6000485481180768,25.60010000000011,11.400100000000293,0.010928018241776536,1.3053379714622514e-05,-1.5873529120805834
1987-02-17,2792.1001,-1.5968080744441016,-1.5968080744441016,26.0,0.3998999999998887,0.007797217009126221,9.31367719980048e-06,-1.5951312344979682
1987-02-18,2801.5,-1.595636531040717,-1.595636531040717,9.399899999999889,16.60010000000011,0.0076791064449972385,9.17259562327181e-06,-1.5817284901492237
1987-02-19,2775.8,-1.5988396146338384,-1.5988396146338384,25.699999999999818,16.30009999999993,0.012404739946174099,1.4817305132191387e-05,-1.5834281397304635
1987-02-20,2827.3999,-1.5924085331903866,-1.5924085331903866,51.59989999999971,25.89989999999989,0.022889585140999764,2.7341320241709115e-05,-1.581837743706799
